subject,comment,contributor,Date
2,2,C Richardson,12/12/2008 0:00
2008,"what is this supposed to mean, grants for what?",,5/3/2008 0:00
"""American people are stupid morons"": What the blogosphere thinks of random commenters",Also a silly little side note -- the Internet English grammatical...,gusandrews,4/7/2009 0:00
"""And""",Possible conclusions can be drawn about the themes in Hitler's speech...,shaegin1975arrowmaker,7/17/2009 0:00
"""Disclosure"" in the Freedom of Information Act 1982 (Cth) Australia",This is my second visualization. The inclusion of the searched term's...,j_desmond_f,3/29/2009 0:00
"""I have a dream"" & ""A more perfect union""",Freedom was the overriding issue in King's day. ...,Martin Wattenberg,3/29/2008 0:00
"""Living in Beverly Hills is cheaper than Nevada"", said Winnie the Pooh.",The price per pound for honey in Nevada is the highest...,Krist W.,2/3/2008 0:00
"""Maria was"": Visualization of descriptive sentences in Wollstonecraft's Maria",Mr. Venables was....,profsuperplum,4/18/2009 0:00
"""Of the"" in the Commonwealth Freedom of Information Act 1982, Australia","occurences of the adverbial phrase ""contrary to"" in the Commonwealth FOI...",j_desmond_f,3/29/2009 0:00
"""One Hundred Years Later"" word tree in ""I Have A Dream""",This word tree shows a small example of how MLK uses...,eslin,5/13/2008 0:00
"""public"" in the Commonwealth Freedom of Information Act 1982, Australia",This is my first visualization on this excellent website. it was...,j_desmond_f,3/29/2009 0:00
"""Show"" - strangers' literacy words for final draft","Whoops. This is ""show,"" not ""fan.""",gusandrews,7/1/2009 0:00
"""Small Donor Contributions v. Large Donor Contributions in States that Held Legislative or Gubernatorial Elections in 2006""","It looks like the blue indicates ""no data"" (listed as -1...",Martin Wattenberg,7/13/2009 0:00
"""The Road to Serfdom"": Hayek's classic warning (before Nazism and WW II) about the dangers of socialism (2-word)",Hayek's classic warning (before Nazism and WW II) about the dangers...,cgreen,9/6/2007 0:00
% GDP Growth of OECD member countries,The pre-1970 numbers seem dramatically different. Is this correct?,Martin Wattenberg,10/19/2007 0:00
% of children living in families with no employment,"From my experience with these states, I have a hard time...",Eric Gilbert,6/18/2007 0:00
% of Country Population that Believe in Evolution,That's fascinating; these kinds of maps can be frustrating though. I'd...,Matt McKeon,2/15/2007 0:00
% of Country Population that Believe in Evolution,"Matt, I don't think the survey drilled down to regional level...",dcjohn,2/15/2007 0:00
% of Country Population that Believe in Evolution,I find it interesting that the closer one gets to the...,,8/18/2009 0:00
"% of Obese Residents, By State",anne.miller@corp.aol.com,annem,9/2/2009 0:00
% of Population in Age Bands by Country,Interesting to flip through & compare the shapes,Scott Radley,10/20/2008 0:00
% Uninsured New York state residents,"Footnotes, from Census Bureau: 2/ Implementation of a...",kg224,5/15/2007 0:00
% women elected before 1989 (around 1994),This is awesome.,,11/29/2008 0:00
% Women with AIDS 2003,I marked all countries in which aids was more prevalent in...,Frank van Ham,2/1/2007 0:00
(Once upon) A Time,"Ageism and sexism abound! ;-) By the way,...",michaeljpastor,1/21/2008 0:00
(Once upon) A Time,"And here is ""young"" - interesting that the royal pair shows...",michaeljpastor,1/21/2008 0:00
(Test) Mean SAT I Verbal and Math Scores by State - Map,It would be nice to have stats on what percentage of...,Martin Wattenberg,7/7/2007 0:00
(unedited) segregation by ethnic-group (in London) in scatterplot,Well... just published this to have something published.... ...,r.traverso,7/2/2007 0:00
.NET Method Cost by Class/Method,"Also useful to see organised by method first, then class.",JimLovesDOTNET,1/25/2007 0:00
@twitter: i need to ___,great!!!,,3/27/2009 0:00
@twitter: i need to ___,test,Matt McKeon,4/10/2009 0:00
[Blank] Is The New [Blank],"Everyone is familiar with the overused ""X is the new Y""...",Belarius,3/19/2007 0:00
[Word tree] Fonction et champ,"""champ"". With some peculiar characters following ""psychanalytique.""",Martin Wattenberg,9/13/2007 0:00
[Word tree] Fonction et champ,Jacques Lacan is a champ of the psychoanalytical field :-),Yann Leroux,9/14/2007 0:00
"עיריית תל-אביב-יפו, הצעת תקציב 2010: סיכומי יחידות",חינוך,עיר לכולנו - התקציבולטור,12/11/2009 0:00
"עיריית תל-אביב-יפו, הצעת תקציב 2010: סיכומי יחידות",רווחה,עיר לכולנו - התקציבולטור,12/11/2009 0:00
"עיריית תל-אביב-יפו, הצעת תקציב 2010: סיכומי יחידות","תרבות, נוער וספורט",עיר לכולנו - התקציבולטור,12/11/2009 0:00
"עיריית תל-אביב-יפו, הצעת תקציב 2010: סיכומי יחידות",כח-אדם,עיר לכולנו - התקציבולטור,12/14/2009 0:00
"תקציב עיריית תל-אביב-יפו: הוצאות בתקציב הרגיל, השוואה בין שנים","השינויים בתקציב החינוך העל יסודי, מתקציב 2007 (בפועל) לתקציב 2009. ...",,11/27/2009 0:00
"1.1.1. Graph 1.a. World population, 2004",Why can't you click on a wedge and see the individual...,,8/31/2008 0:00
"1.1.1. Graph 1.a. World population, 2004",if only the world had ONLY 6.3 Million people! :-) ....,,9/11/2008 0:00
"1.1.1. Graph 2. Population growth rates, average annual growth in percentage, 1992-2005 or latest available year","1st, fertility rates are a complex figure. They are a projection...",Vozome,6/18/2007 0:00
1.1.1. Graph 3. Total fertility rates - number of children born to women aged 15 to 49,Here's the OECD average (selected in orange).,Fernanda B. Viegas,6/14/2007 0:00
1.1.1. Graph 3. Total fertility rates - number of children born to women aged 15 to 49,Thanks Fernanda!,OECD,6/14/2007 0:00
"10.1.1. Graph 1. Government net borrowing/net lending, as a percentage of GDP, average 2003-2005",I am thankful that the U.S. has such a high GDP....,Eric Gilbert,6/21/2007 0:00
10/40 Window,Did you think only 2 countries can be colored? Can...,Anonymous,1/31/2007 0:00
10/40 Window,That data is clearly wrong. (You can click on the link...,Anonymous,1/31/2007 0:00
100 most popular RDF namespaces,You can get more information on this dataset here: http://ebiquity.umbc.edu/resource/html/id/196/Most-common-RDF-namespaces,Tim Finin,1/23/2007 0:00
112MC,I used data found via data.gov to create this bubble visualisation...,Penny Stone,1/25/2010 0:00
"12.2.2. Graph 1. Foreign-born pop. by region of origin, % of total foreign-born pop., aged 15+, circa 2000",A stack graph works well when you have 2 quantitative axis....,Lee Byron,6/21/2007 0:00
"12.2.2. Graph 1. Foreign-born pop. by region of origin, % of total foreign-born pop., aged 15+, circa 2000",http://services.alphaworks.ibm.com/manyeyes/view/SIk76IsOtha66y-cjFAII2- Here is a multiples bar chart version of this...,Lee Byron,8/10/2007 0:00
"12.2.2. Graph 1. Foreign-born pop. by region of origin, % of total foreign-born pop., aged 15+, circa 2000","well, here's the original graph: http://oberon.sourceoecd.org/vl=628004/cl=23/nw=1/rpsv/factbook/12-02-02-g01.htm ...",OECD,1/22/2008 0:00
"12.4.2. Graph 1. Foreign- and native-born unemployment rates, As a percentage of total labour force, 2004",U.S. has low unemployment and is one of two countries with...,Eric Gilbert,6/21/2007 0:00
