"Bob"," A new version of 'Food' is available!  "
"Bob"," A new version of 'Food' is available!  "
"Bob"," A new version of 'Food' is available!  "
"Bob"," A new version of 'Food' is available!  "
"US/UK Historical Barley Yields","I think the tonnes per acre and tonnes per hectare are switched (hectares are larger than acres and should have a larger tonnage) "
"Pie Chart Test","good "
"Pie Chart Test","good one "
"chk","Hi "
"chkkkk","Good one "
"chk"," A new version of 'chk' is available!  "
"Adjacent-word Phrase Map of Obama's Foreclosure Speech","data set - http://manyeyes.alphaworks.ibm.com/manyeyes/datasets/9a7391862bcd11dfaaa5000255111976/versions/1 "
"Defasagem no conteudo online de fisica 1"," A new version of 'Defasagem no conteudo online sobre fisica mecanica' is available!  "
"Defasagem no conteudo online de fisica 1"," A new version of 'Defasagem no conteudo online sobre fisica mecanica' is available!  "
"Defasagem no conteudo online sobre fisica mecanica"," A new version of 'Defasagem no conteudo online sobre fisica mecanica' is available!  "
"Defasagem no conteudo online sobre fisica mecanica"," A new version of 'Defasagem no conteudo online sobre fisica mecanica' is available!  "
"Tiger Woods' Public Apology, February 19th 2010 ","I expected "sorry" to show up a lot more. :) "
"Doctors per Capita by State","I was hoping for a greater color contrast. However, this visualization type doesn't seem to allow for a greater variation. Users have to select each range to compare the number of doctors per capita in each state. "
"Parole dei messaggi della Madonna"," A new version of 'parole della madonna' is available!  "
"World Map of Social Networks (June 2009) ","Great snapshot. However, it seems like Cuba is missing. Is this because of their communist government? Is there any reason behind this? Regards Grant, Admin watch date night online, watch world cup online "
"Pie chart of percentage of union workers per state","The use of a pie chart is completely inappropriate for this. It would make far more sense to use a scatter plot or even a bar chart to portray this data. Who really cares that the number for 2007 is x% of the total for an arbitrary number of years? "
"Key words by occurence (The Lodt Practice Model)","I am deji toye "
"Key words by occurence","I am deji toye "
"Per Capita Stimulus Spending by State","This is just one State in the Union at a time. Can you imagine the other 49 states in the union? And not to forget the U S Federal Government along side state government, county government, and municipalities do not create wealth. Government in what ever form acquires its monies by taxing its citizens and then redistributes those monies to their targeted special interest whatever it may be...for example a $1 million dollar tunnel so that turtles may cross to the other side. "
"US State Taxes from January 2007","I neglected to include the information that this data set was contributed by Fernanda B. Viegas "
"Flex 4 Basics"," A new version of 'Flex 4 Basics ' is available!  "
"Flex 4 Basics"," A new version of 'Flex 4 Basics ' is available!  "
"No1 maximum"," A new version of 'B2B Communication' is available!  "
